id,distractor,tv,reading,music,talking_phone,messaging,socnet,comp_video,other_comp,games,tv_socnet,tv_messaging,tv_comp_video,tv_other_comp,socnet_tv,socnet_messaging,socnet_comp_video,socnet_other_comp,messaging_tv,messaging_socnet,messaging_comp_video,messaging_other_comp,comp_video_tv,comp_video_socnet,comp_video_messaging,comp_video_other_comp,other_comp_tv,other_comp_socnet,other_comp_messaging,other_comp_comp_video,yob,gender,first_language,faculty,academic_performance,parents_qualification,navigation_tool,life1,life2,life3,recall_1,recall_2
292,absa,2-3 hours,1-2 hours,3 hours or more,1-2 hours,3 hours or more,3 hours or more,30 minute to 1 hour,30 minute to 1 hour,Not at all,Often,Very often,Never,Sometimes,Often,Very often,Never,Sometimes,Often,Often,Never,Sometimes,Never,Often,Very often,Never,Sometimes,Sometimes,Very often,Never,1997,Female,English,Education,65-70%,University - Bachelors,Mouse,7,19,11,Standard Bank,Personal growth
293,absa,Not at all,30 minute to 1 hour,2-3 hours,Not at all,1-2 hours,Less than 30 minutes,3 hours or more,2-3 hours,30 minute to 1 hour,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Very often,1997,Male,English,Science,55-60%,Matric,Mouse,28,52,52,Absa,Shared growth
294,absa,Not at all,Less than 30 minutes,1-2 hours,1-2 hours,3 hours or more,30 minute to 1 hour,3 hours or more,30 minute to 1 hour,Less than 30 minutes,Often,Often,Never,Never,Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Often,Never,Sometimes,Often,Sometimes,Never,Sometimes,Often,Sometimes,1995,Male,Afrikaans,Engineering,60-65%,Matric,Mouse,40,51,85,Absa,Shared growth
295,absa,30 minute to 1 hour,30 minute to 1 hour,1-2 hours,Less than 30 minutes,3 hours or more,3 hours or more,1-2 hours,30 minute to 1 hour,Not at all,Very often,Sometimes,Never,Never,Often,Sometimes,Never,Never,Often,Very often,Never,Never,Never,Very often,Sometimes,Never,Sometimes,Very often,Sometimes,Often,1997,Female,English,Arts and Social Sciences,50-55%,University - Honours,Touch pad,9,4,14,Standard Bank,Shared growth
296,absa,Not at all,Less than 30 minutes,3 hours or more,Not at all,1-2 hours,30 minute to 1 hour,1-2 hours,30 minute to 1 hour,Not at all,Never,Never,Never,Never,Never,Often,Sometimes,Sometimes,Never,Often,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Often,Never,1996,Female,English,Science,60-65%,University - Bachelors,Touch pad,21,12,46,FNB,Shared growth
297,absa,Not at all,Less than 30 minutes,1-2 hours,Less than 30 minutes,30 minute to 1 hour,30 minute to 1 hour,30 minute to 1 hour,30 minute to 1 hour,Not at all,Sometimes,Sometimes,Never,Often,Sometimes,Often,Never,Sometimes,Sometimes,Sometimes,Often,Sometimes,Never,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Never,1997,Male,Afrikaans,Economic and Management Sciences,50-55%,University - Bachelors,Mouse,9,37,41,Absa,Shared growth
298,absa,Not at all,30 minute to 1 hour,Less than 30 minutes,Less than 30 minutes,1-2 hours,30 minute to 1 hour,30 minute to 1 hour,30 minute to 1 hour,Not at all,Often,Sometimes,Never,Never,Sometimes,Often,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,1997,Female,Afrikaans,Arts and Social Sciences,80-85%,Matric,Touch pad,7,19,36,Standard Bank,Shared growth
299,absa,Not at all,2-3 hours,3 hours or more,Less than 30 minutes,3 hours or more,3 hours or more,3 hours or more,30 minute to 1 hour,Not at all,Never,Never,Never,Never,Never,Often,Often,Often,Never,Often,Often,Often,Never,Often,Often,Often,Never,Often,Often,Often,1996,Female,isiXhosa,Economic and Management Sciences,50-55%,University - Bachelors,Touch pad,7,15,11,Absa,Shared growth
300,absa,Not at all,Not at all,Less than 30 minutes,Not at all,30 minute to 1 hour,Less than 30 minutes,30 minute to 1 hour,1-2 hours,Less than 30 minutes,Never,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,1997,Male,English,Engineering,60-65%,Matric,Mouse,70,17,8,Absa,Personal growth
301,absa,Not at all,Not at all,Less than 30 minutes,Less than 30 minutes,30 minute to 1 hour,30 minute to 1 hour,1-2 hours,2-3 hours,Less than 30 minutes,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,1997,Male,English,Engineering,55-60%,University - Bachelors,Mouse,16,77,11,Absa,Shared growth
